TRACE workspaces.workspace.ondidchangeactivetexteditor(1) - [22/May/2020:07:59:37 +0000] "ENOENT: no such file or directory, lstat '/home/matrix/Documents/aerodisk/engine2/bin/SCST/tests/test_params.py'
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:36:17 +0000] "Setting mode for '/var/www/engine/bin/SCST/tests/test_device_group.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:36:17 +0000] "'/var/www/engine/bin/SCST/tests/test_target_group.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:36:17 +0000] "Setting mode for '/var/www/engine/bin/SCST/tests/test_target_group.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:40:13 +0000] "'/var/www/engine/bin/NETWORK/tests/test.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:40:13 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:41:56 +0000] "'/var/www/engine/bin/NETWORK/tests/test.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:41:57 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:42:25 +0000] "'/var/www/engine/bin/NETWORK/tests/test.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:42:25 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:43:12 +0000] "'/var/www/engine/bin/NETWORK/tests/test.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:43:12 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:52:39 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:52:39 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:58:50 +0000] "'/var/www/engine/bin/NETWORK/tests/test.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:58:50 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:10:00:31 +0000] "'/var/www/engine/bin/NETWORK/tests/test.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:10:00:31 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:12:33:38 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:12:33:38 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:12:35:13 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:12:35:13 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:12:37:08 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:12:37:09 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:12:50:34 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:12:50:34 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:12:50:59 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:12:50:59 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:12:55:10 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:12:55:10 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:12:55:40 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:12:55:40 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:12:56:06 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:12:56:06 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:12:57:07 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:12:57:07 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:03:35 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:03:35 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:10:13 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:10:14 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:19:57 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:19:58 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:20:02 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:20:02 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:20:21 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:20:21 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:20:57 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:20:57 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:21:12 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:21:12 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:21:25 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:21:26 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:21:44 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:21:44 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:22:23 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:22:23 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:24:14 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:24:14 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:24:36 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:24:36 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:25:40 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:25:40 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:26:16 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:26:16 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:13:26:31 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:13:26:31 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:14:45:52 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:14:45:52 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:14:50:29 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:14:50:30 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:14:51:08 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:14:51:09 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:14:54:45 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:14:54:46 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:14:56:48 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:14:56:49 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:14:57:18 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:14:57:19 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:14:58:34 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:14:58:35 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
